kode_provinsi,nama_provinsi,total_bongkar,total_muat,selisih_ekspor_impor,latitude,longitude
1100,Prov. Nanggroe Aceh Darussalam,1769308,6627757,5481924,5.55,95.31667
1200,Prov. Sumatera Utara,13048361,7031280,2211926,3.583333,98.66666
1300,Prov. Sumatera Barat,3229209,6544914,3298318,-0.95,100.3531
1400,Prov. Riau,11354687,119910992,98435428,0.4816667,101.4686
1500,Prov. Jambi,1213870,3479378,1241941,-1.589167,103.61
1600,Prov. Sumatera Selatan,2756404,6040758,1675339,-2.990833,104.7567
1700,Prov. Bengkulu,398042,1107635,968296,-3.795556,102.2592
1800,Prov. Lampung,5595277,12465475,1712171,-5.429722,105.2625
1900,Prov. Kepulauan Bangka Belitung,1585563,3658879,667104,-2.1,106.1
2100,Prov. Kepulauan Riau,10166791,11441662,1992120,1.083333,104.4833
3100,Prov. DKI Jakarta,29346250,15955568,-4617357,-6.183333,106.8333
3200,Prov. Jawa Barat,3607700,190552,-69927,-6.914722,107.6097
3300,Prov. Jawa Tengah,26966688,9139325,-9310027,-6.966667,110.4167
3400,Prov. D I Yogyakarta,0,0,0,-7.801389,110.3644
3500,Prov. Jawa Timur,36658212,18835570,-5168192,-7.266667,112.7167
3600,Prov. Banten,3916060,1459400,-827147,-6.12,106.1503
5100,Prov. Bali,1370879,127589,0,-8.65,115.2167
5200,Prov. Nusa Tenggara Barat,928030,95772,-75142,-8.583333,116.1167
5300,Prov. Nusa Tenggara Timur,1203553,1209537,-42098,-10.18333,123.5833
6100,Prov. Kalimantan Barat,2556588,1122226,286045,-0.0166667,109.3333
6200,Prov. Kalimantan Tengah,1844629,4089708,1654366,-2.21,113.92
6300,Prov. Kalimantan Selatan,27069877,91916872,56481153,-3.314444,114.5925
6400,Prov. Kalimantan Timur,40979938,65847814,26167328,-0.5022222,117.1536
7100,Prov. Sulawesi Utara,920051,791319,370249,1.493056,124.8414
7200,Prov. Sulawesi Tengah,1220258,2731499,198215,-0.9,119.8333
7300,Prov. Sulawesi Selatan,5167617,4582587,-436257,-5.133333,119.4167
7400,Prov. Sulawesi Tenggara,1230688,629512,14985,-3.9675,122.5947
7500,Prov. Gorontalo,400770,212742,-61780,0.5333334,123.0667
7600,Prov. Sulawesi Barat,54878,580797,79078,-2.668611,118.8622
8100,Prov. Maluku,32909,33759,0,-3.7,128.1667
8200,Prov. Maluku Utara,408435,2989426,2747909,0.7833334,127.3667
9100,Prov. Papua Barat,2090064,342897,63902,-0.8666667,134.0833
9400,Prov. Papua,1390950,664261,252229,-2.533056,140.7169
